Tag,Song Count,AUROC,AUPRC,Time to Train
classic pop and rock,57929,0.5677291747854231,0.682403763845481,126
american,54737,0.5429454094345122,0.6589347899537674,108
rock,49449,0.5264948976103123,0.6777005205224684,115
british,46432,0.5284169516087923,0.6586656235819177,141
uk,45467,0.521528782480869,0.6860833268789245,110
rock and indie,42129,0.5411500572552401,0.7037922607407991,110
english,33673,0.5257169342607314,0.6704074422362866,105
folk,26449,0.6525841261519565,0.74222943680314,202
pop,22524,0.532527499374009,0.676294276135469,205
punk,21137,0.6684206163546379,0.7473643835939755,200
electronic,18031,0.620690946524871,0.7148439304599621,202
usa,16205,0.6197952989490289,0.7102880016053382,229
hip hop rnb and dance hall,13605,0.6633042494513304,0.7504440626624604,324
metal,13529,0.6625041077883667,0.7642023911858556,359
german,13442,0.5510305686713093,0.6938512616336456,471
jazz,13289,0.6930135792906535,0.7662099842588386,507
alternative rock,12893,0.5804035102678917,0.7248907344459478,876
pop and chart,11234,0.6394786144273883,0.7551143731752699,963
dance and electronica,10306,0.6280615997581128,0.7186059596547116,111
european,8550,0.5906394699333565,0.6753625900745732,100
french,8423,0.5556279379950877,0.6639163634906318,101
england,8414,0.6255430631402363,0.7214556752469218,110
hard rock,8055,0.582938263861954,0.7080693569322916,1067
jazz and blues,7099,0.7388480159320598,0.8098959745170202,110
progressive rock,6853,0.621103750640041,0.707216909353273,109
blues,6760,0.6419726620572286,0.7236853222078198,109
am\xc3\xa9ricain,6480,0.5421786150978787,0.7116314122884017,112
indie rock,6399,0.5683141234390442,0.7220905419592063,109
production music,6392,0.683302826126358,0.7585810629543829,110
hip hop,5902,0.6603506299763913,0.754945889548774,160
soul and reggae,5762,0.5359526902916536,0.6670327171218776,118
classical,5758,0.7848646863634593,0.8484364679473344,200
finnish,5712,0.6313237827557681,0.753962816645103,228
hip-hop,5669,0.6726060967621187,0.7609896279420961,263
rnb,5389,0.6299208406566333,0.7281455884420869,582
alternative,5294,0.5600280949812749,0.7100323640230629,105
britannique,5189,0.5278947102766001,0.7027660768644697,133
canadian,5185,0.5330896235259031,0.6925626057790946,1103
heavy metal,5174,0.6484913847835798,0.7536375029336906,93
electronica,5087,0.6287319719900901,0.7185152644693158,98
